C,r,p,K,a
46878.79519573409,0.15219581102391377,0.9747370890793264,1493261.5584024768,1.347059428994155
26456.9087839333,1.9638531298329287,0.7661286259155752,1475132.3673373598,2.2574608525207283
13018.095733520935,3.493510212649368,0.7216073564233477,1495557.9688762587,2.2707513007788083
10374.750617708176,5.802516573959344,0.6820186381061727,1505190.8528884691,2.221345566690174
30168.74630315136,0.6228066728846996,0.868623785786878,1512681.700814899,1.3559637578627686
22184.15055359019,0.14351286292252352,0.9956094363153776,1498950.340824222,0.9876488815980655
21110.79224475549,1.1530993087275305,0.8099300307422626,1500983.5331914192,1.8859488878397646
14952.436483336074,4.355276306006354,0.7008208778181054,1491653.7522683262,2.5780670909185894
19718.095265475662,2.3994248968121026,0.7515254989079677,1495541.075060992,2.111727908643976
39591.70170229789,0.4332746243312232,0.8898454701599853,1482297.4844818234,1.6806477715295265
23965.983492621162,0.3237366329076488,0.918327104617033,1496825.003464529,1.3955408603832
24745.399236313195,1.7031228924576582,0.781795911096055,1488318.2089136161,1.890945468403516
14993.527677560867,3.434550126116871,0.7213935326099161,1478154.6114319435,2.434062246897361
20558.17268936509,6.133947550402451,0.6739194177844898,1483325.4425672418,2.7777291265800725
16509.233349049035,5.120250000958523,0.6858319182901972,1481599.236732148,2.8586050261797724
27545.368084135134,0.1199186502489795,0.9999999999999939,1503327.2333788322,1.1909851789376025
22359.92909402197,1.3269225264753308,0.796855078047343,1486593.6577994686,2.0101369838655687
19027.207116058747,2.9267981939302437,0.7353807656014362,1487625.043721039,2.220953302118966
10831.918653883991,6.14507063487229,0.6749613563711372,1490798.9955859068,2.74671954503303
22936.88702153236,0.5748680827450635,0.8669703064775448,1498901.4414862387,1.7367461465932914
14049.516326174424,4.506262936979862,0.6984150616510963,1481735.7321674835,2.6077806127205188
23644.488217020076,1.4627260114940532,0.7920559088601323,1508090.611630331,1.8223919580754993
8240.45991244299,7.504836291448355,0.6635821359915353,1508249.087945813,2.1688635448150837
20302.869934277027,0.7730069281381928,0.8449194803777674,1495382.7870101677,1.7144291768884832
28473.746762507544,0.38511717920158595,0.900713125563364,1487432.2775898299,1.594735217719482
16233.419097633505,2.5670537404134666,0.7450360047744196,1496394.2088665734,2.2410832403551266
15331.226528681927,5.468104234388144,0.6847173399359384,1494778.068570491,2.438410911893361
19433.283570378833,0.887310114872909,0.8335079049496273,1491411.9377573447,1.825517372132066
20557.381631926986,1.3901187155673804,0.7940106543259213,1494254.7065379468,2.056322739703645
18949.37116130681,3.3440450838784463,0.723063224974071,1486158.7994547305,2.3666184664263787
12128.704320880597,7.421467405655958,0.6566430445283227,1480495.7594072453,3.061067711017879
8920.28779407913,7.578274908882838,0.6603348149671434,1496922.3815963117,2.4872341945141776
10147.462590240717,5.625969597850922,0.6838940060543683,1484276.7378821291,2.495734179363489
52549.01573656704,0.19147249075987058,0.9673644820636169,1523672.456989145,0.9992828412688003
10079.450308821757,4.437316244451714,0.7057840496932197,1502705.953685836,2.063083577904791
