C,r,p,K,a
24819.42859918233,6.8164557421446705,0.6677256160691261,1498365.1087721274,2.400785270718404
18746.65891698684,3.292035557447173,0.7248992991044627,1464270.4179731861,2.5155750849228444
22780.87652189408,0.44419660395208205,0.89268524322559,1495543.8899198414,1.4528422141600965
26745.67728548336,0.13387268474310246,0.9956445447399093,1502610.4273193658,1.0660301261629743
19182.831410745966,0.6122494338438287,0.8674557434857058,1492564.2561656153,1.5774339711046592
13927.174988031147,5.408068731052109,0.6827668283899689,1471760.930357972,2.89790626627719
14491.449599602243,4.1480602866325,0.7058953188137913,1477985.575705449,2.5591265096604245
21494.095129158777,4.601818064551388,0.6977936940730023,1504049.4389406384,2.3936881343077054
10457.129744437132,8.090745535527258,0.6531576109489847,1488344.8483518127,2.6034535484420527
23294.8828760495,1.629805348927244,0.7789422968622027,1478105.6949491915,2.521942250520837
19375.81672077774,3.941458882184822,0.7129185571755159,1492020.4393358876,2.2307551184802397
14115.61378581513,2.1257681848857155,0.7639259745943853,1499149.9376951868,1.9628797844839998
24324.05538460342,0.6216676200260025,0.8652426977413932,1490009.221501419,1.5607461778500928
28782.331210814133,1.9813782569831904,0.76539508941423,1469955.0326995214,2.5199523303993994
21162.00624302584,1.3950286911785923,0.7941120014311434,1491109.8611520655,2.0190257840283214
16772.007071290445,1.5160389383240769,0.7914721912749489,1495695.5849618241,1.8265470257650596
23928.399164171904,0.13440270276012586,0.9944448967586607,1487720.67032203,1.179901993892286
22121.015794372222,2.3438526877444548,0.7504409142281038,1468018.6961223648,2.647914240241663
11845.561103323722,3.0167656842177903,0.7357370193094729,1498552.0452363149,2.08512084910194
17636.814657627787,1.8692106599257776,0.7713021351548802,1502239.248576179,2.0310267147916523
15571.84643012873,5.496857143980026,0.684586760728694,1489103.8544012636,2.4883248595088183
23132.05566703784,1.2925532168181504,0.8023315694270233,1492563.4545786504,1.8913049399479578
19806.04482796625,2.753102044191519,0.7393792494694663,1489799.451906424,2.245754229297783
10070.821180337698,6.232981848580434,0.6745144874973337,1470522.7671299265,2.722501293993484
25254.187661497002,0.47905841437348723,0.8877507394193694,1505795.72626677,1.3955771573315365
11491.49199674159,4.927154784182653,0.6940487119466009,1484658.1712837406,2.387721143002039
28411.26069755752,0.9851820525203439,0.820477995141783,1478491.8861905488,2.0357865543041247
13739.884484558419,5.739120138220233,0.6780164428724718,1471634.7325737241,2.9319743015894093
29899.352078061565,0.24471136293232817,0.9425066178284539,1501322.2412850044,1.263684156081237
37308.42448709225,0.6787953306413097,0.8552882925649468,1515453.6717151112,1.5197140657945565
12851.759998130447,4.6953516097819,0.6954020910065737,1470402.2765974386,2.9608958859861287
57102.05434743963,0.11484802461919992,0.9999999999999624,1496287.1280714404,1.246164007557168
11245.6143924176,6.408092383299465,0.6699347566369923,1450244.3016193681,3.140666999291853
18792.059411789854,3.174029457794925,0.7240597119453918,1466636.9248177852,2.70696131642884
19895.884864721844,6.1239526462086395,0.674337375443185,1481811.5087693173,2.73268302579633
14308.256877407086,3.605296479083658,0.7174865516380149,1485903.79363828,2.4503661148931877
11939.47553744913,5.269793021574956,0.6893054327895958,1491536.7697063924,2.2644434068627137
20899.39769463736,2.4090759820069403,0.7498936433185905,1492217.929696287,2.2846837495036705
