,time (s),Signal (V)
0,0.0,0.000226964
1,0.29139423400192754,0.0001573
2,0.5810956960049225,0.000104053
3,0.8679013260043575,7.0058e-05
4,1.1575055130015244,4.693e-05
5,1.445491791004315,3.055e-05
6,1.7327265740022995,1.9214e-05
7,2.022217751000426,1.1638e-05
8,2.3141636850050418,7.072e-06
9,2.603264809004031,3.64e-06
10,2.8938546190038323,9.67e-07
11,3.184732914000051,5.111e-06
12,3.472704888001317,7.031e-06
13,3.761678695998853,7.149e-06
14,4.052038193003682,6.015e-06
15,4.342014790003304,5.531e-06
16,4.630977154003631,7.187e-06
17,4.918067456004792,8.259e-06
18,5.208572388000903,8.433e-06
19,5.496719838003628,9.111e-06
20,5.786366462998558,9.486e-06
21,6.0751795770047465,8.841e-06
22,6.366206646001956,7.645e-06
23,6.655307293003716,6.483e-06
24,6.938597202999517,6.274e-06
25,7.225100518000545,7.215e-06
26,7.514954090998799,7.992e-06
27,7.805424691003282,7.329e-06
28,8.10091352499876,6.154e-06
29,8.390100955999515,5.414e-06
30,8.681335927001783,4.641e-06
31,8.976770401000977,4.673e-06
32,9.263382435005042,7.021e-06
33,9.551201820999268,8.656e-06
34,9.83907937999902,8.867e-06
35,10.125952720998612,8.478e-06
36,10.41325044700352,8.2e-06
37,10.700295449001715,7.357e-06
38,10.985903740001959,6.103e-06
39,11.26887083100155,5.045e-06
40,11.558345795005152,4.915e-06
41,11.849104881999665,5.281e-06
42,12.133508206003171,5.589e-06
43,12.4242291460032,6.811e-06
44,12.714696408002055,7.548e-06
45,13.005325794998498,6.515e-06
46,13.293543815998419,5.531e-06
47,13.582673073004116,5.411e-06
48,13.873864651002805,4.714e-06
49,14.165360928003793,3.824e-06
50,14.45204162599839,3.351e-06
51,14.742210864998924,3.59e-06
52,15.032082557998365,4.513e-06
53,15.320312977004505,4.693e-06
54,15.611736775004829,2.901e-06
55,15.901346684004238,1.6e-07
56,16.190125943001476,1.353e-06
57,16.47849607500393,1.044e-06
58,16.762617111999134,2.356e-06
59,17.0492863660038,3.714e-06
60,17.33406925199961,3.667e-06
61,17.622233391004556,4.769e-06
62,17.910830975000863,6.853e-06
63,18.19460582800093,7.4e-06
64,18.47913646700181,6.25e-06
65,18.760666371003026,6.227e-06
66,19.040900231004343,7.414e-06
67,19.32703351999953,8.08e-06
68,19.612270356003137,8.783e-06
69,19.897627831000136,8.98e-06
70,20.184691906004446,6.993e-06
71,20.472867488999327,3.754e-06
72,20.760694026997953,2.386e-06
73,21.047584534004272,4.025e-06
74,21.33559322400106,5.827e-06
75,21.621921063000627,6.688e-06
76,21.909151077998104,5.129e-06
77,22.196459771002992,2.853e-06
78,22.4830517770024,2.01e-06
79,22.769583703004173,3.067e-06
80,23.054001331998734,5.337e-06
81,23.355234622998978,6.483e-06
82,23.645518303004792,6.301e-06
83,23.932846547002555,4.616e-06
84,24.218029976000253,3.372e-06
85,24.503026963000593,4.76e-06
86,24.791308403000585,5.166e-06
87,25.078473091998603,4.046e-06
88,25.368310452002333,2.434e-06
89,25.65486097399844,1.144e-06
90,25.942655564002052,1.03e-06
91,26.230815888004145,1.017e-06
92,26.518847942999855,1.458e-06
93,26.805360794998705,1.627e-06
94,27.09186554000189,4.14e-07
95,27.379646302004403,2.461e-06
96,27.666843415005133,3.565e-06
97,27.953970433001814,3.871e-06
98,28.242836475998047,3.454e-06
99,28.53008127299836,3.547e-06
100,28.817628861004778,4.912e-06
101,29.10535860100208,6.248e-06
102,29.3918409350008,6.964e-06
103,29.682125569001073,6.602e-06
104,29.970778465998592,6.165e-06
105,30.25889778200508,6.781e-06
106,30.54695415500464,7.585e-06
107,30.83515930199792,7.961e-06
108,31.1231431970009,7.154e-06
109,110.07321071700426,0.000104684
110,110.36465787899942,0.000441285
111,110.65322733000357,0.000934859
112,110.94399213800352,0.00141573
113,111.29219818200363,0.001802771
114,111.57933187500021,0.002074025
115,111.86352491399884,0.002239061
116,112.15116930100339,0.002321133
117,112.44172048600012,0.002348014
118,112.73190784500184,0.002342981
119,113.02240228700248,0.00232243
120,113.31381940899882,0.002298616
121,113.60343504000048,0.002279496
122,113.8914427760028,0.002268367
123,114.17781734500022,0.002264025
124,114.46904325500509,0.002264375
125,114.7597427369983,0.002268164
126,115.04907655800343,0.002273386
127,115.33859443700203,0.0022789
128,115.62793064200378,0.002284634
129,115.91748952899798,0.002290316
130,116.21064663000288,0.002294844
131,116.50033235600131,0.00229729
132,116.79025602400361,0.002298865
133,117.07783365299838,0.002300653
134,117.36809539800015,0.002301998
135,117.65782499399938,0.002303104
136,117.94580173500435,0.00230338
137,118.23783016300149,0.002302308
138,118.52042722699844,0.00230166
139,118.81015157700313,0.00230183
140,119.09875965199899,0.002302877
141,119.387385369002,0.002305126
142,119.67033720100153,0.002308517
143,119.95960283299792,0.002313103
144,120.24651241300307,0.002318162
145,120.59314680100215,0.002323436
146,120.94512844100245,0.002328311
147,121.2372097970001,0.002331431
148,121.52230787300505,0.002332065
149,121.81000709599903,0.002329998
150,122.10041856799944,0.00232611
151,122.39055347500107,0.002321154
152,122.6767225270014,0.002315466
153,122.96394205099932,0.002310765
154,123.27316141199844,0.002308575
155,123.5621385580016,0.002308775
156,123.85204601300211,0.002311237
157,124.14038753600471,0.002315681
158,124.43045139400056,0.002321075
159,124.71805429500091,0.002328019
160,125.0009641650031,0.002337281
161,125.32246923500497,0.002347711
162,125.61301517500397,0.002357814
163,125.9016661650021,0.002365859
164,126.18849611299811,0.002370602
165,126.47764062900387,0.002372359
166,126.76908826900035,0.002373201
167,127.05981779099966,0.002375052
168,127.34677791599825,0.002377324
169,127.63684511199972,0.002378962
170,127.92588281699864,0.002379697
171,128.21009826700174,0.002379057
172,128.49086046300363,0.002378137
173,128.80760336000094,0.002377569
174,129.09653186800278,0.002375627
175,129.38644981400284,0.002371208
176,129.66817617500055,0.00236474
177,129.95323133499915,0.002357758
178,130.24122238199925,0.002352259
179,130.52968740500364,0.002349261
180,130.8125877390048,0.002347408
181,131.1488270760019,0.002345779
182,131.44031810800516,0.002344389
183,131.7290449150023,0.00234282
184,132.01775360199827,0.002341282
185,132.30882835399825,0.002339421
186,132.59715652500017,0.00233622
187,132.88464593900426,0.002332236
188,133.1724982270025,0.002329077
189,133.462164878998,0.002325704
190,133.75336885500292,0.002320996
191,134.0445761689989,0.002316263
192,134.33416461999877,0.002312605
193,134.62256336300197,0.002310641
194,134.91483783800504,0.00231003
195,135.19901847900474,0.002309892
196,135.48329544100125,0.002308935
197,135.77127695100353,0.002306231
198,136.0582623490045,0.002303773
199,136.35273885800416,0.002303657
200,136.6379508980026,0.002305293
201,136.9214372639981,0.002307609
202,137.22249031100364,0.002310286
203,137.50597238600312,0.002313186
204,137.7928910260016,0.002316399
205,138.0792751320041,0.002319745
206,138.3657817850035,0.002323193
207,138.64603853299923,0.002326599
208,138.9304823880011,0.00232922
209,139.2166438109998,0.002330705
210,139.49717617100396,0.002330175
211,139.78341102600098,0.002328045
212,140.06449270300072,0.002326775
213,140.34597635300452,0.002326158
214,140.63399601000128,0.002324383
215,140.9211535459981,0.002321105
216,141.2105031020037,0.002317971
217,141.498914718999,0.002316955
218,141.78698206000263,0.002317612
219,222.0743007659985,0.002317404
220,222.35720300699904,0.002313539
221,222.63997411799937,0.002307225
222,222.92807674500364,0.002301394
223,223.21206712799903,0.00229559
224,223.4975523950052,0.002289957
225,223.7863264090047,0.002287717
226,224.0725865370041,0.002289627
227,224.35258340900327,0.002293606
228,224.631214619003,0.00229917
229,224.91189813700475,0.002306148
230,225.18889617999957,0.002313577
231,225.46789550800167,0.002320489
232,225.74489736599935,0.00232598
233,226.02589845700277,0.00232908
234,226.30421781600307,0.002327958
235,226.58136367800034,0.002322719
236,226.8586239819997,0.002316422
237,227.1670250899988,0.002311384
238,227.44599628500146,0.002308801
239,227.72559452099813,0.002309327
240,228.04647350400046,0.002312266
241,228.3272461900051,0.00231655
242,228.6068773270017,0.002321277
243,228.8864922530047,0.002325188
244,229.16751241699967,0.002328799
245,229.44748592399992,0.002333336
246,229.72943496800144,0.00233853
247,230.0098028190041,0.002343832
248,230.29288005900162,0.002348471
249,230.5736370090017,0.002351244
250,230.85321664900403,0.002350622
251,231.13390588800394,0.002346689
252,231.41344499600382,0.002342513
253,231.69644785000128,0.002340706
254,231.9995055200052,0.002340452
255,232.28722334000486,0.002340618
256,232.57831478200387,0.002341334
257,232.86387539000134,0.002342506
258,233.15414714899816,0.002343937
259,233.44509697000467,0.002343982
260,233.73399353100103,0.002341117
261,234.0244951249988,0.002336518
262,234.3134827620015,0.002331132
263,234.60208368299936,0.002325052
264,234.89691925100487,0.002319779
265,235.18699121499958,0.002316384
266,235.4699935919998,0.002313575
267,235.76599502599856,0.002310085
268,236.07399273000192,0.002307075
269,236.36203289100376,0.002306099
270,236.644881248998,0.002306837
271,236.9363641739983,0.002308205
272,237.22385978700186,0.002309618
273,237.5140795710031,0.002311097
274,237.7986817359997,0.002313769
275,238.08890867300215,0.002317677
276,238.37950754199846,0.002321622
277,238.66811132500152,0.002325635
278,238.95610380200378,0.00232902
279,239.24859809900227,0.002330822
280,239.53705501600052,0.00233131
281,239.82561206899845,0.002330544
282,240.11529970200354,0.002328832
283,240.40396928800328,0.002327507
284,240.69437074699817,0.002326669
285,240.98561477700423,0.002325696
286,241.27609539100376,0.002325145
287,241.56214380299934,0.002324477
288,241.85062122400268,0.002322539
289,242.14231824900344,0.002321013
290,242.43246936800278,0.002321015
291,242.72254133300157,0.00232079
292,243.01009845799854,0.002319798
293,243.29773902900342,0.002319574
294,243.58825922100368,0.002320879
295,243.87905406999926,0.002322161
296,244.1661915779987,0.002321843
297,244.45648336500017,0.00232036
298,244.74262428300426,0.002319538
299,245.0314559940016,0.002320246
300,245.3222565660035,0.002321592
301,245.61244201700174,0.002321845
302,245.90367555700504,0.002319921
303,246.19541931200365,0.002317018
304,246.4831566819994,0.002315321
305,246.77026558000216,0.002315384
306,247.06011295400094,0.002316648
307,247.35019016300066,0.002318493
308,247.64024543800042,0.002320235
309,247.93005561899918,0.002321397
310,248.21602916800475,0.002322029
311,248.5073795319986,0.002323456
312,248.79928255100094,0.002326326
313,249.0896930700037,0.002329166
314,249.37289190300362,0.002330561
315,249.66012239499833,0.002330686
316,249.95335817400337,0.002331093
317,250.2419724470019,0.002332977
318,250.5303983690028,0.002335546
319,250.82112884600065,0.0023387
320,251.10880756400002,0.002342402
321,251.39669418400445,0.00234484
322,251.68529081399902,0.002345534
323,251.97429656999884,0.002344374
324,252.26145458300016,0.002341894
325,252.55366706899804,0.002340692
326,252.8424425129997,0.002341129
327,253.12116670700198,0.002341869
328,253.41063213400048,0.002343208
329,332.44955253600347,0.002344185
330,332.73983240200323,0.002342264
331,333.02691269000206,0.002337732
332,333.3166446690011,0.002333365
333,333.6044178010052,0.002330997
334,333.8951659209997,0.002330059
335,334.1865711220016,0.002328303
336,334.47583818500425,0.00232491
337,334.7646813399988,0.002320394
338,335.0545506480048,0.002315636
339,335.3436546330049,0.00231167
