Area,179544.627,tR (min),2.976
Compound Name,RT,Score
Cyclotrisiloxane, hexamethyl-,3.006,717,Area,730112.002,tR (min),3.006
Area,15514307.703,tR (min),3.782
Area,10831049.284,tR (min),3.785
Area,6008616.534,tR (min),4.094
Area,416116.118,tR (min),5.488
Area,35646.810,tR (min),5.523
Area,197858.264,tR (min),5.528
Area,494796.070,tR (min),5.549
Compound Name,RT,Score
Cyclotetrasiloxane, octamethyl-,5.615,863,Area,3070768.981,tR (min),5.615
Area,36040.218,tR (min),5.868
Area,64215.938,tR (min),6.647
Compound Name,RT,Score
Dodecane,6.797,699,Area,3940337.394,tR (min),6.797
Area,3994477.911,tR (min),7.370
Compound Name,RT,Score
2-Myristynoyl pantetheine,7.716,604,Area,78182.712,tR (min),7.716
Area,527231.414,tR (min),8.270
Area,123622.585,tR (min),8.336
Area,384505.482,tR (min),8.729
Area,395269.208,tR (min),8.861
Area,97753.401,tR (min),9.320
Area,45790.596,tR (min),9.343
Compound Name,RT,Score
4-(2-amino-1-hydroxypropyl)phenol, 2TMS derivative,9.611,786,Area,20083358.486,tR (min),9.611
Area,274407.810,tR (min),10.136
Compound Name,RT,Score
Tetradecane, 2,6,10-trimethyl-,10.82,620,Area,258637.823,tR (min),10.820
Area,36795.289,tR (min),11.017
Area,13436.048,tR (min),11.877
Compound Name,RT,Score
Dodecane, 2,6,11-trimethyl-,12.039,723,Area,549956.180,tR (min),12.039
Area,141245.044,tR (min),12.399
Area,66459.914,tR (min),12.673
Compound Name,RT,Score
n-Caproic acid vinyl ester,12.774,649,Area,383485.684,tR (min),12.774
Area,13616443.120,tR (min),13.550
Area,106855.552,tR (min),14.073
Area,129725.667,tR (min),14.078
Area,162203.329,tR (min),14.169
Area,151258.434,tR (min),14.173
Area,41547.113,tR (min),14.224
Area,440812.655,tR (min),14.456
Area,66075.139,tR (min),14.749
Area,16649.112,tR (min),14.859
Area,251609.369,tR (min),15.501
Area,203037.806,tR (min),16.254
Area,297035.574,tR (min),16.263
Area,17231.505,tR (min),16.633
Compound Name,RT,Score
2,6-Dihydroxyacetophenone, 2TMS derivative,16.793,782,Area,1406937.869,tR (min),16.793
Area,46704.156,tR (min),17.033
Area,85011.602,tR (min),17.170
Area,56572.488,tR (min),17.266
Area,66415.150,tR (min),17.368
Area,266133.341,tR (min),17.561
Area,2818.686,tR (min),18.545
Area,642691.670,tR (min),18.836
Compound Name,RT,Score
5-Methylsalicylic acid, 2TMS derivative,19.359,645,Area,710778.989,tR (min),19.359
Area,1209701.656,tR (min),19.490
Area,45105.443,tR (min),19.914
Area,50574.932,tR (min),20.208
Area,11735.187,tR (min),20.957
Area,511897.797,tR (min),21.564
Area,894532.451,tR (min),21.567
Area,16584.707,tR (min),21.797
Area,206180.985,tR (min),22.209
Area,203476.903,tR (min),22.320
Area,189117.693,tR (min),22.353
Compound Name,RT,Score
Hexanoic acid,22.56,801,Area,2361459.513,tR (min),22.560
Area,355496.233,tR (min),22.924
Compound Name,RT,Score
Dimethyl sulfone,23.486,842,Area,875825.393,tR (min),23.486
Area,602748.304,tR (min),23.672
Compound Name,RT,Score
Octanoic acid,25.479,808,Area,2049419.699,tR (min),25.479
Compound Name,RT,Score
Nonanoic acid,26.378,701,Area,555604.314,tR (min),26.378
Compound Name,RT,Score
2H-Pyran-2-one, tetrahydro-6-pentyl-,26.62,717,Area,679979.610,tR (min),26.620
Compound Name,RT,Score
n-Decanoic acid,27.102,678,Area,1265576.990,tR (min),27.102
Compound Name,RT,Score
2-(Hydroxymethyl)-2,4a,7,10b-tetramethyl-1a,2a,4,4a,10,10a,,27.237,620,Area,502330.486,tR (min),27.237
Compound Name,RT,Score
2,4-Di-tert-butylphenol,27.356,761,Area,415778.263,tR (min),27.356
Compound Name,RT,Score
2-Myristynoyl pantetheine,27.479,659,Area,92548.967,tR (min),27.479
Compound Name,RT,Score
4-Methoxycarbonylmethylundec-3-enedioic acid, dimethyl este,27.685,630,Area,61948.601,tR (min),27.685
Area,39720.021,tR (min),27.740
Compound Name,RT,Score
Octadecanoic acid, 4-hydroxy-, methyl ester,27.776,645,Area,59265.201,tR (min),27.776
Compound Name,RT,Score
14-Oxononadec-10-enoic acid, methyl ester,28.063,602,Area,301424.608,tR (min),28.063
Compound Name,RT,Score
N,N'-Trimethylenebis[s-3-aminopropylthiosulfuric acid],28.272,604,Area,162831.055,tR (min),28.272
Area,70713.373,tR (min),28.612
Area,41580.756,tR (min),28.833
Area,130280.282,tR (min),29.367
Area,84069.774,tR (min),29.553
Area,62938.613,tR (min),29.566
Area,40520.164,tR (min),29.570
Area,54941.519,tR (min),29.577
Area,40952.905,tR (min),30.439
Area,39372.997,tR (min),30.458

Sequence Name,20240603_S24031_BelénFlórez
Sample Name,E2
Area,63272.436,tR (min),2.931
Area,48092.023,tR (min),2.950
Area,65183.040,tR (min),2.959
Area,104794.743,tR (min),2.966
Area,198219.832,tR (min),2.979
Compound Name,RT,Score
Cyclotrisiloxane, hexamethyl-,3.009,745,Area,737342.247,tR (min),3.009
Area,15590818.333,tR (min),3.781
Area,10749660.094,tR (min),3.785
Area,5924027.816,tR (min),4.094
Area,34492.107,tR (min),5.539
Area,391037.877,tR (min),5.551
Compound Name,RT,Score
Cyclotetrasiloxane, octamethyl-,5.621,857,Area,2494580.424,tR (min),5.621
Compound Name,RT,Score
4-[4-(2-Methoxyphenyl)-1H-pyrazol-3-yl]benzene-1,3-diol,6.647,611,Area,14208.499,tR (min),6.647
Compound Name,RT,Score
Decane, 3,6-dimethyl-,6.815,754,Area,5434049.375,tR (min),6.815
Area,3619748.839,tR (min),7.369
Area,456189.695,tR (min),8.174
Area,115505.051,tR (min),8.352
Area,398538.139,tR (min),8.819
Area,380445.558,tR (min),8.832
Area,249241.142,tR (min),9.407
Compound Name,RT,Score
p-Trimethylsilyloxyphenyl-bis(trimethylsilyloxy)ethane,9.635,780,Area,18751384.048,tR (min),9.635
Area,214510.795,tR (min),10.130
Area,10081.677,tR (min),10.767
Area,57054.478,tR (min),10.953
Area,5015.316,tR (min),11.917
Compound Name,RT,Score
Dodecane, 2,6,11-trimethyl-,12.367,734,Area,349612.173,tR (min),12.367
Area,206384.769,tR (min),12.815
Area,81112.223,tR (min),12.820
Area,320241.400,tR (min),12.829
Area,14264157.743,tR (min),13.517
Area,143970.163,tR (min),14.115
Area,106569.210,tR (min),14.121
