year,month,day,hour,height
2024,4,30,0,12.399
2024,4,30,1,12.619
2024,4,30,2,12.264
2024,4,30,5,11.973
2024,4,30,7,11.324
2024,4,30,9,11.337
2024,4,30,10,12.18
2024,4,30,12,12.978
2024,4,30,13,12.868
2024,4,30,14,13.406
2024,4,30,15,13.462
2024,4,30,16,12.936
2024,4,30,17,13.339
2024,4,30,18,12.985
2024,4,30,22,12.016
2024,4,30,23,12.3
2024,5,1,0,11.731
2024,5,1,1,12.089
2024,5,1,3,11.733
2024,5,1,4,11.925
2024,5,1,5,12.003
2024,5,1,6,12.374
2024,5,1,8,12.467
2024,5,1,10,11.612
2024,5,1,11,11.63
2024,5,1,12,12.166
2024,5,1,13,12.741
2024,5,1,14,12.947
2024,5,1,15,13.449
2024,5,1,16,12.891
2024,5,1,17,12.875
2024,5,1,18,13.299
2024,5,1,20,12.732
2024,5,1,21,12.587
2024,5,1,22,12.2
2024,5,1,23,12.357
2024,5,2,0,11.846
2024,5,2,1,11.876
2024,5,2,2,12.133
2024,5,2,3,11.982
2024,5,2,4,12.121
2024,5,2,5,12.38
2024,5,2,6,12.633
2024,5,2,7,12.106
2024,5,2,8,12.075
2024,5,2,9,12.02
2024,5,2,10,11.681
2024,5,2,12,11.896
2024,5,2,13,11.952
2024,5,2,14,12.321
2024,5,2,15,12.681
2024,5,2,16,13.175
2024,5,2,17,13.123
2024,5,2,18,13.433
2024,5,2,19,12.871
2024,5,2,20,12.965
2024,5,2,21,12.734
2024,5,2,22,12.276
2024,5,2,23,11.888
2024,5,3,0,11.377
2024,5,3,1,11.706
2024,5,3,2,11.789
2024,5,3,3,11.937
2024,5,3,4,12.187
2024,5,3,5,12.572
2024,5,3,6,12.41
2024,5,3,7,12.426
2024,5,3,8,11.957
2024,5,3,9,12.048
2024,5,3,10,12.131
2024,5,3,11,11.741
2024,5,3,12,11.779
2024,5,3,13,11.354
2024,5,3,14,11.773
2024,5,3,15,12.512
2024,5,3,16,12.579
2024,5,3,18,13.339
2024,5,3,19,13.179
2024,5,3,20,12.773
2024,5,3,21,12.633
2024,5,3,22,12.382
2024,5,3,23,12.2
2024,5,4,0,11.607
2024,5,4,1,11.665
2024,5,4,2,11.735
2024,5,4,3,11.661
2024,5,4,4,12.19
2024,5,4,5,11.987
2024,5,4,6,12.689
2024,5,4,7,12.996
2024,5,4,8,12.936
2024,5,4,9,12.803
2024,5,4,10,12.112
2024,5,4,11,12.003
2024,5,4,12,11.639
2024,5,4,13,11.517
2024,5,4,14,11.631
2024,5,4,15,11.84
2024,5,4,16,12.147
2024,5,4,17,12.442
2024,5,4,18,13.051
2024,5,4,19,12.875
2024,5,4,21,12.935
2024,5,4,22,12.384
2024,5,4,23,12.141
2024,5,5,0,11.678
2024,5,5,1,11.653
2024,5,5,2,11.343
2024,5,5,3,11.11
2024,5,5,4,11.634
2024,5,5,5,11.987
2024,5,5,7,12.788
2024,5,5,9,12.801
2024,5,5,10,12.56
2024,5,5,11,12.121
2024,5,5,12,11.918
2024,5,5,13,11.83
2024,5,5,14,11.733
2024,5,5,16,12.061
2024,5,5,20,13.419
2024,5,6,0,11.69
2024,5,6,1,12.019
2024,5,6,3,11.155
2024,5,6,9,13.912
2024,5,6,10,13.562
2024,5,6,11,13.082
2024,5,6,12,12.992
2024,5,6,16,12.154
2024,5,6,17,12.227
2024,5,6,19,12.81
2024,5,6,21,12.468
2024,5,6,22,12.585
2024,5,7,0,11.661
2024,5,7,1,11.821
2024,5,7,2,11.235
2024,5,7,3,11.273
2024,5,7,4,11.353
2024,5,7,7,13.346
2024,5,7,9,13.249
2024,5,7,10,13.414
2024,5,7,11,13.653
2024,5,7,12,13.52
2024,5,7,14,12.492
2024,5,7,16,12.503
2024,5,7,18,12.902
2024,5,7,19,12.989
2024,5,7,20,12.82
2024,5,7,21,13.16
2024,5,7,22,12.674
2024,5,8,1,11.414
2024,5,8,2,11.289
2024,5,8,3,10.593
2024,5,8,4,11.204
2024,5,8,8,13.127
2024,5,8,10,13.899
2024,5,8,11,13.915
2024,5,8,13,13.366
2024,5,8,14,12.318
2024,5,8,16,11.922
2024,5,8,18,12.106
2024,5,9,0,12.445
2024,5,9,2,11.46
2024,5,9,4,11.371
2024,5,9,5,11.066
2024,5,9,7,11.485
2024,5,9,8,12.895
2024,5,9,10,13.269
2024,5,9,11,13.632
2024,5,9,12,13.644
2024,5,9,13,13.5
2024,5,9,14,13.18
2024,5,9,15,12.678
2024,5,9,16,12.448
2024,5,9,18,12.012
2024,5,9,19,12.029
2024,5,9,20,12.25
2024,5,9,21,12.347
2024,5,9,22,12.453
2024,5,10,0,12.309
2024,5,10,1,12.132
2024,5,10,2,11.754
2024,5,10,4,11.51
2024,5,10,5,11.258
2024,5,10,7,11.568
2024,5,10,8,12.344
2024,5,10,9,12.721
2024,5,10,10,12.864
2024,5,10,11,13.223
2024,5,10,12,13.451
2024,5,10,13,13.428
2024,5,10,14,13.166
2024,5,10,15,12.87
2024,5,10,16,12.626
2024,5,10,17,12.787
2024,5,10,18,12.254
2024,5,10,19,12.1
2024,5,10,20,12.087
2024,5,10,21,12.226
2024,5,10,22,12.301
2024,5,11,0,12.15
2024,5,11,1,12.108
2024,5,11,2,11.945
2024,5,11,3,11.524
2024,5,11,4,11.568
2024,5,11,5,11.144
2024,5,11,7,11.325
2024,5,11,8,11.663
2024,5,11,9,12.172
2024,5,11,10,12.469
2024,5,11,11,12.84
2024,5,11,12,12.891
2024,5,11,13,13.145
2024,5,11,14,13.337
2024,5,11,15,13.014
2024,5,11,16,12.71
2024,5,11,17,12.297
2024,5,11,18,12.454
2024,5,11,19,12.061
2024,5,11,20,12.08
2024,5,11,21,12.032
2024,5,11,22,12.16
2024,5,11,23,12.232
2024,5,12,0,12.179
2024,5,12,1,12.088
2024,5,12,2,11.981
2024,5,12,3,11.652
2024,5,12,4,11.584
2024,5,12,5,11.392
2024,5,12,7,11.364
2024,5,12,8,11.563
2024,5,12,9,12.002
2024,5,12,10,12.159
2024,5,12,11,12.505
2024,5,12,12,12.858
2024,5,12,14,13.177
2024,5,12,15,12.892
2024,5,12,16,12.849
2024,5,12,17,12.695
2024,5,12,18,12.576
2024,5,12,19,12.262
2024,5,12,20,12.102
2024,5,12,21,11.984
2024,5,12,22,11.987
2024,5,12,23,12.066
2024,5,13,0,12.146
2024,5,13,1,12.059
2024,5,13,2,12.129
2024,5,13,3,11.874
2024,5,13,4,11.842
2024,5,13,5,11.658
2024,5,13,7,11.475
2024,5,13,8,11.692
2024,5,13,9,11.791
2024,5,13,10,11.872
2024,5,13,11,12.094
2024,5,13,12,12.646
2024,5,13,14,12.99
2024,5,13,15,12.868
2024,5,13,16,12.993
2024,5,13,17,12.828
2024,5,13,18,12.751
2024,5,13,19,12.44
2024,5,13,20,12.3
2024,5,13,21,12.059
2024,5,13,22,11.977
2024,5,13,23,11.993
2024,5,14,0,12.043
2024,5,14,1,12.054
2024,5,14,2,12.163
2024,5,14,3,12.018
2024,5,14,4,11.972
2024,5,14,5,11.84
2024,5,14,6,11.732
2024,5,14,7,11.646
2024,5,14,8,11.76
2024,5,14,9,11.73
2024,5,14,10,11.735
2024,5,14,11,11.96
2024,5,14,12,12.263
2024,5,14,13,12.456
2024,5,14,14,12.731
2024,5,14,15,12.873
2024,5,14,16,12.874
2024,5,14,17,12.888
2024,5,14,19,12.58
2024,5,14,20,12.321
2024,5,14,21,12.153
2024,5,14,22,11.973
2024,5,14,23,11.96
2024,5,15,0,11.99
2024,5,15,1,11.907
2024,5,15,2,11.847
2024,5,15,3,12.02
2024,5,15,4,12.057
2024,5,15,5,12.016
2024,5,15,6,11.943
2024,5,15,7,11.914
2024,5,15,8,11.952
2024,5,15,9,11.828
2024,5,15,10,11.751
2024,5,15,11,11.792
2024,5,15,12,11.937
2024,5,15,13,12.22
2024,5,15,14,12.405
2024,5,15,15,12.561
2024,5,15,16,12.832
2024,5,15,17,12.814
2024,5,15,19,12.651
2024,5,15,20,12.535
2024,5,15,21,12.161
2024,5,15,22,12.139
2024,5,15,23,12.039
2024,5,16,0,11.906
2024,5,16,1,11.917
2024,5,16,2,11.72
2024,5,16,3,12.054
2024,5,16,4,12.256
2024,5,16,5,12.112
2024,5,16,6,12.039
2024,5,16,7,12.133
2024,5,16,8,12.178
2024,5,16,9,12.022
2024,5,16,10,11.77
2024,5,16,11,11.939
2024,5,16,12,11.844
2024,5,16,13,11.97
2024,5,16,14,12.259
2024,5,16,15,12.43
2024,5,16,16,12.56
2024,5,16,17,12.831
2024,5,16,18,12.843
2024,5,16,19,12.706
2024,5,16,20,12.651
2024,5,16,21,12.361
2024,5,16,22,12.263
2024,5,16,23,12.031
2024,5,17,0,11.894
2024,5,17,1,11.749
2024,5,17,2,11.729
2024,5,17,3,11.975
2024,5,17,4,12.024
2024,5,17,5,12.36
2024,5,17,6,12.358
2024,5,17,7,12.392
2024,5,17,8,12.531
2024,5,17,9,12.211
2024,5,17,10,12.179
2024,5,17,11,12.024
2024,5,17,12,11.884
2024,5,17,13,11.988
2024,5,17,14,12.148
2024,5,17,15,12.216
2024,5,17,16,12.404
2024,5,17,17,12.667
2024,5,17,18,12.818
2024,5,17,19,12.699
2024,5,17,20,12.732
2024,5,17,21,12.412
2024,5,17,22,12.212
2024,5,17,23,12.078
2024,5,18,0,11.866
2024,5,18,1,11.52
2024,5,18,2,11.583
2024,5,18,3,11.781
2024,5,18,4,11.795
2024,5,18,5,12.115
2024,5,18,6,12.426
2024,5,18,7,12.526
2024,5,18,8,12.444
2024,5,18,9,12.607
2024,5,18,10,12.36
2024,5,18,11,12.217
2024,5,18,12,11.956
2024,5,18,13,11.846
2024,5,18,14,11.883
2024,5,18,15,12.106
2024,5,18,16,12.264
2024,5,18,17,12.471
2024,5,18,18,12.745
2024,5,18,19,12.616
2024,5,18,20,12.71
2024,5,18,21,12.493
2024,5,18,22,12.363
2024,5,18,23,12.153
2024,5,19,1,11.611
2024,5,19,2,11.344
2024,5,19,3,11.994
2024,5,19,4,11.839
2024,5,19,5,12.186
2024,5,19,6,12.519
2024,5,19,7,12.741
2024,5,19,8,12.79
2024,5,19,9,12.71
2024,5,19,10,12.718
2024,5,19,11,12.351
2024,5,19,12,12.076
2024,5,19,13,11.938
2024,5,19,14,11.923
2024,5,19,15,11.921
2024,5,19,16,12.08
2024,5,19,17,12.497
2024,5,19,18,12.485
2024,5,19,19,12.657
2024,5,19,20,12.629
2024,5,19,21,12.589
2024,5,19,22,12.446
2024,5,19,23,12.273
