year,month,day,hour,height
2024,5,9,16,2011
2024,5,9,17,2264
2024,5,9,18,2415
2024,5,9,19,2420
2024,5,9,20,2302
2024,5,9,21,2128
2024,5,9,22,1992
2024,5,9,23,1934
2024,5,10,0,2000
2024,5,10,1,2201
2024,5,10,2,2512
2024,5,10,3,2854
2024,5,10,4,3113
2024,5,10,5,3275
2024,5,10,6,3228
2024,5,10,7,3012
2024,5,10,8,2644
2024,5,10,9,2170
2024,5,10,10,1686
2024,5,10,11,1306
2024,5,10,12,1060
2024,5,10,13,1007
2024,5,10,14,1110
2024,5,10,15,1377
2024,5,10,16,1688
2024,5,10,17,1976
2024,5,10,18,2202
2024,5,10,19,2319
2024,5,10,20,2323
2024,5,10,21,2251
2024,5,10,22,2133
2024,5,10,23,2059
2024,5,11,0,2048
2024,5,11,1,2138
2024,5,11,2,2342
2024,5,11,3,2604
2024,5,11,4,2860
2024,5,11,5,3069
2024,5,11,6,3126
2024,5,11,7,3051
2024,5,11,8,2839
2024,5,11,9,2492
2024,5,11,10,2056
2024,5,11,11,1656
2024,5,11,12,1326
2024,5,11,13,1147
2024,5,11,14,1102
2024,5,11,15,1218
2024,5,11,16,1447
2024,5,11,17,1710
2024,5,11,18,1961
2024,5,11,19,2157
2024,5,11,20,2263
2024,5,11,21,2289
2024,5,11,22,2258
2024,5,11,23,2178
2024,5,12,0,2136
2024,5,12,1,2153
2024,5,12,2,2257
2024,5,12,3,2424
2024,5,12,4,2636
2024,5,12,5,2835
2024,5,12,6,2965
2024,5,12,7,2982
2024,5,12,8,2889
2024,5,12,9,2674
2024,5,12,10,2356
2024,5,12,11,2026
2024,5,12,12,1691
2024,5,12,13,1432
2024,5,12,14,1274
2024,5,12,15,1254
2024,5,12,16,1362
2024,5,12,17,1552
2024,5,12,18,1759
2024,5,12,19,1962
2024,5,12,20,2157
2024,5,12,21,2270
2024,5,12,22,2315
2024,5,12,23,2306
2024,5,13,0,2263
2024,5,13,1,2241
2024,5,13,2,2254
2024,5,13,3,2333
2024,5,13,4,2453
2024,5,13,5,2587
2024,5,13,6,2714
2024,5,13,7,2795
2024,5,13,8,2801
2024,5,13,9,2718
2024,5,13,10,2533
2024,5,13,11,2290
2024,5,13,12,2004
2024,5,13,13,1713
2024,5,13,14,1503
2024,5,13,15,1361
2024,5,13,16,1343
2024,5,13,17,1408
2024,5,13,18,1564
2024,5,13,19,1754
2024,5,13,20,1955
2024,5,13,21,2137
2024,5,13,22,2274
2024,5,13,23,2333
2024,5,14,0,2344
2024,5,14,1,2316
2024,5,14,2,2297
2024,5,14,3,2291
2024,5,14,4,2326
2024,5,14,5,2396
2024,5,14,6,2473
2024,5,14,7,2572
2024,5,14,8,2635
2024,5,14,9,2643
2024,5,14,10,2590
2024,5,14,11,2468
2024,5,14,12,2265
2024,5,14,13,2033
2024,5,14,14,1814
2024,5,14,15,1615
2024,5,14,16,1495
2024,5,14,17,1465
2024,5,14,18,1500
2024,5,14,19,1651
2024,5,14,20,1836
2024,5,14,21,2032
2024,5,14,22,2228
2024,5,14,23,2356
2024,5,15,0,2420
2024,5,15,1,2424
2024,5,15,2,2405
2024,5,15,3,2356
2024,5,15,4,2306
2024,5,15,5,2288
2024,5,15,6,2304
2024,5,15,7,2349
2024,5,15,8,2420
2024,5,15,9,2486
2024,5,15,10,2526
2024,5,15,11,2509
2024,5,15,12,2419
2024,5,15,13,2267
2024,5,15,14,2046
2024,5,15,15,1836
2024,5,15,16,1657
2024,5,15,17,1536
2024,5,15,18,1505
2024,5,15,19,1556
2024,5,15,20,1710
2024,5,15,21,1912
2024,5,15,22,2123
2024,5,15,23,2325
2024,5,16,0,2468
2024,5,16,1,2503
2024,5,16,2,2494
2024,5,16,3,2427
2024,5,16,4,2332
2024,5,16,5,2226
2024,5,16,6,2175
2024,5,16,7,2164
2024,5,16,8,2190
2024,5,16,9,2267
2024,5,16,10,2356
2024,5,16,11,2433
2024,5,16,12,2463
2024,5,16,13,2412
2024,5,16,14,2267
2024,5,16,15,2074
2024,5,16,16,1841
2024,5,16,17,1680
2024,5,16,18,1570
2024,5,16,19,1547
2024,5,16,20,1632
2024,5,16,21,1808
2024,5,16,22,2043
2024,5,16,23,2266
2024,5,17,0,2463
2024,5,17,1,2562
2024,5,17,2,2573
2024,5,17,3,2492
2024,5,17,4,2343
2024,5,17,5,2189
2024,5,17,6,2032
2024,5,17,7,1929
2024,5,17,8,1912
2024,5,17,9,1990
2024,5,17,10,2104
2024,5,17,11,2263
2024,5,17,12,2368
2024,5,17,13,2409
2024,5,17,14,2360
2024,5,17,15,2235
