"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.746915000E-1,-1.324226238E-2,-6.807620823E-3,1.106626493E-1
8.847515000E-1,6.190012325E-2,-1.009850688E-1,8.834733546E-2
8.948115000E-1,-5.179116447E-2,-8.533982009E-2,-8.949163556E-2
9.048715000E-1,1.048646964E-2,-6.871794015E-2,3.188720584E-2
9.149305000E-1,-3.184377199E-2,9.288170502E-2,7.994254768E-2
9.249905000E-1,1.880808078E-2,7.164300978E-2,3.698773205E-2
9.350505000E-1,-1.123922557E-1,3.570996925E-2,-1.737774950E-1
9.451095000E-1,1.184751872E-2,-5.599366799E-2,8.846895754E-2
9.551695000E-1,6.370084640E-3,-1.824214339E-2,6.703131080E-2
9.652295000E-1,5.460301738E-2,-5.829367027E-2,8.499337256E-2
9.752895000E-1,-3.922573557E-2,-3.549420699E-2,-1.486537635E-1
9.853485000E-1,3.565887921E-2,3.786803037E-3,9.712868392E-2
9.954085000E-1,-2.459686082E-3,1.372356132E-1,1.882978857E-2
1.005468250E0,2.761826333E-2,9.463031486E-2,3.651293814E-2
1.015528250E0,-5.559110546E-2,1.217624187E-2,-1.986550587E-1
1.025587250E0,3.510452662E-2,-7.468897060E-2,1.224097055E-1
1.035647250E0,2.420626681E-2,-7.857342213E-2,7.044257641E-2
1.045707250E0,1.597875930E-2,-1.178908311E-1,4.274607003E-2
1.055766250E0,-4.544960327E-2,-1.047802041E-1,-1.105667549E-1
1.065826250E0,-1.695727257E-2,4.180905372E-2,1.385322332E-1
1.075886250E0,2.613232138E-2,9.667815596E-2,5.366808414E-2
1.085946250E0,-3.265002994E-2,9.132459149E-2,-5.291145444E-3
1.096005250E0,-3.347938439E-2,-4.095536023E-3,-7.416082084E-2
1.106065250E0,-1.617816763E-2,2.506058156E-2,8.855374217E-2
1.116125250E0,7.869020199E-2,-4.431487799E-2,6.012633383E-2
1.126185250E0,-3.083797781E-2,-9.377764463E-3,-7.577640653E-2
1.136244250E0,2.484377777E-2,-2.114601687E-2,-4.150236726E-2
1.146304250E0,-2.997205999E-2,1.468282628E-1,8.226330757E-2
1.156364250E0,7.182659408E-2,1.105799112E-1,2.252639830E-2
1.166424250E0,-8.187616708E-2,7.240957975E-2,-1.684594524E-1
1.176483250E0,3.371192085E-2,-7.642237768E-2,7.119745195E-2
1.186543250E0,-1.266506910E-2,-6.073078975E-2,7.059518874E-2
1.196603250E0,6.246839952E-2,-1.479148217E-1,1.259747529E-1
1.206662250E0,-9.279929582E-2,-1.260631920E-1,-1.656206292E-1
1.216722250E0,1.146882014E-2,-2.466238618E-2,1.119127840E-1
1.226782250E0,-1.177033547E-2,8.422724113E-2,6.818905950E-2
1.236842250E0,8.648415674E-3,8.779901281E-2,4.603980660E-2
1.246901250E0,-6.884361874E-2,2.201330513E-3,-1.837604463E-1
1.256961250E0,2.713193944E-2,-4.653360397E-3,9.912258446E-2
1.267021250E0,4.118928540E-2,-4.815869138E-2,5.228053987E-2
1.277080250E0,2.298271867E-2,-3.719428495E-2,3.267131746E-2
1.287140250E0,3.643363528E-4,-2.539460376E-2,-8.602482140E-2
1.297200250E0,1.689795988E-2,7.291624099E-2,1.155912673E-1
1.307260250E0,2.469578840E-2,9.280832246E-2,2.533130765E-2
1.317319250E0,-3.212412771E-2,6.867393985E-2,-2.388938427E-2
1.327379250E0,-2.813709408E-2,-6.649205133E-2,-2.061903656E-2
1.337439250E0,-1.815648168E-2,-5.018212035E-2,1.027232999E-1
1.347499250E0,5.300265273E-2,-1.284570421E-1,8.925482333E-2
1.357558250E0,-6.042551028E-2,-9.009886891E-2,-7.600737154E-2
1.367618250E0,-7.545466349E-3,-6.407393530E-2,1.455605865E-2
1.377678250E0,-6.159266934E-2,9.998621821E-2,1.090271831E-1
1.387738250E0,3.092627076E-2,1.070188107E-1,9.786484838E-3
1.397797250E0,-8.845766511E-2,9.588322699E-2,-1.440894270E-1
1.407857250E0,1.718860304E-2,-1.273231208E-4,5.799619317E-2
1.417917250E0,-2.115767475E-2,8.118566573E-3,3.898104787E-2
1.427976250E0,7.793613045E-2,-3.603258938E-2,6.473627865E-2
1.438036250E0,-4.624855220E-2,-7.162839174E-3,-1.559241915E-1
1.448096250E0,4.659587681E-2,-1.250602484E-2,7.097935081E-2
1.458156250E0,-7.577845305E-3,1.351447950E-1,2.636041760E-2
1.468215250E0,6.730556348E-2,6.424803615E-2,5.208699703E-2
1.478275250E0,-9.312310366E-2,-1.104539037E-3,-1.844094872E-1
1.488335250E0,5.456568656E-2,-9.846711159E-2,1.069999534E-1
1.498395250E0,-1.515908930E-2,-8.152509660E-2,1.150755429E-1
1.508454250E0,1.427705510E-2,-9.940105811E-2,7.315509975E-2
1.518514250E0,-7.943077013E-2,-7.094280571E-2,-1.362617594E-1
1.528574250E0,1.325909140E-2,4.143307775E-2,1.120735824E-1
1.538633250E0,1.335705053E-3,1.301919110E-1,2.721761942E-2
1.548693250E0,-1.252064288E-2,1.188823727E-1,3.292216301E-2
1.558753250E0,-5.469533030E-2,2.340742752E-2,-1.519480848E-1
1.568813250E0,2.861817375E-2,-2.685333788E-4,1.054978037E-1
1.578872250E0,4.542577587E-2,-3.675018892E-2,3.394250214E-2
1.588932250E0,-1.144026015E-3,6.039004326E-3,-4.367870092E-3
1.598992250E0,6.892624721E-3,-1.618538529E-2,-5.120699108E-2
1.609051250E0,-2.039581910E-4,7.951920927E-2,1.112233973E-1
1.619111250E0,5.232859667E-2,6.887537643E-2,4.252446055E-2
1.629171250E0,-4.780226704E-2,3.435473084E-2,-5.102163434E-2
1.639231250E0,-8.805961590E-3,-1.129800470E-1,2.889927864E-2
1.649290250E0,-3.321879957E-2,-8.319623083E-2,8.442794681E-2
1.659350250E0,6.216580611E-2,-1.412580590E-1,9.895126104E-2
1.669410250E0,-8.061320504E-2,-1.038678923E-1,-1.037032932E-1
1.679470250E0,1.239927661E-2,-5.448055476E-2,4.451309860E-2
1.689529250E0,-2.403927399E-2,1.221848801E-1,1.078425372E-1
1.699589250E0,4.874189632E-2,1.133471060E-1,4.034227967E-2
1.709649250E0,-1.100390985E-1,8.000014275E-2,-1.928604680E-1
1.719708250E0,5.338939123E-2,-2.551300988E-2,6.684770823E-2
1.729768250E0,-5.034397859E-3,1.249549985E-2,2.403322577E-2
1.739828250E0,8.496671291E-2,-3.201116681E-2,5.787807941E-2
1.749888250E0,-6.663784800E-2,1.624093384E-2,-2.061810100E-1
1.759947250E0,5.934012087E-2,2.015272111E-2,8.930627882E-2
1.770007250E0,-2.362859845E-2,1.403628503E-1,4.411431849E-2
1.780067250E0,2.171363533E-2,9.267953753E-2,6.446613729E-2
1.790127250E0,-9.579369150E-2,-2.678989559E-2,-1.799761283E-1
1.800186250E0,1.724956026E-2,-7.277137622E-2,1.123659432E-1
1.810246250E0,-7.033652253E-4,-8.580277339E-2,1.006884688E-1
1.820306250E0,-2.660391759E-3,-9.405407175E-2,5.189579308E-2
1.830365250E0,-5.332657021E-2,-7.263542846E-2,-1.305811894E-1
1.840425250E0,-1.389261894E-2,6.546074867E-2,1.488981771E-1
1.850485250E0,2.960213223E-2,1.098680127E-1,1.465663075E-2
1.860545250E0,-2.686665857E-2,1.126492408E-1,-2.053483665E-2
1.870604250E0,-1.801653223E-2,-2.258077741E-2,-5.944571793E-2
1.880664250E0,3.095424604E-2,-1.051650971E-2,6.971986055E-2
1.890724250E0,9.548130400E-2,-4.513553470E-2,5.356166482E-2
