,time (s),Signal (V)
0,60.86167001799913,0.013319164
1,61.00774288200046,0.013341082
2,61.29246330299793,0.013359643
3,61.578992367001774,0.013368796
4,61.87015771900042,0.013368819
5,62.15613651300373,0.013362329
6,62.447773934,0.013351279
7,62.73993635200168,0.013338106
8,63.031426430003194,0.013323199
9,63.407722474003094,0.013305859
10,63.73373842300498,0.01328775
11,64.07126140600303,0.013268657
12,64.3596730240024,0.013245771
13,64.64363241200044,0.013220604
14,64.93035078100365,0.013195924
15,65.22009563499887,0.01317141
16,65.5081768040036,0.013147025
17,65.79624414499995,0.01312382
18,66.08543586800079,0.013101012
19,66.37525367800117,0.013076416
20,66.6636462220049,0.013050241
21,66.94940042500093,0.013025022
22,67.237191678003,0.013001137
23,67.52823114400235,0.012975958
24,67.81595039400418,0.012948526
25,68.10466623400134,0.01292151
26,68.39358520600217,0.012897345
27,68.67979192799976,0.01287711
28,68.97115659800329,0.012861906
29,69.26155233399913,0.012851411
30,69.55319881500327,0.012844573
31,69.84130144200026,0.012839783
32,70.13119173100131,0.012834435
33,70.42023992600298,0.012827726
34,70.7084875110013,0.012819614
35,70.99881458299933,0.012808969
36,71.28864669799805,0.012796261
37,71.57650423100131,0.012784946
38,71.86641216299904,0.012778248
39,72.15341138900112,0.012776058
40,72.43301105499995,0.012777822
41,72.72383689900016,0.012783166
42,73.0149221419997,0.012789646
43,73.30446148000192,0.012795239
44,73.59509134299878,0.012798972
45,73.88632774400321,0.012799707
46,74.17619848300092,0.012795924
47,74.44976806700288,0.012787322
48,74.73780918199918,0.012777114
49,75.0285458569997,0.012766806
50,75.3191423419994,0.012754737
51,75.61075544400228,0.012742438
52,75.89447069200105,0.012732043
53,76.18351698000333,0.012722704
54,76.47460222300288,0.012713043
55,76.76108598800056,0.012705097
56,77.05066633300157,0.012701024
57,77.33917856300104,0.012697961
58,77.62652158800483,0.012694618
59,77.91620731400326,0.01269189
60,78.2083845140005,0.012689447
61,78.49833440800285,0.012687528
62,78.78790712400223,0.012686935
63,79.06979656300246,0.012688663
64,79.35101270700397,0.012692271
65,79.64026022000326,0.012695567
66,79.9319224360006,0.012696917
67,80.22316885000328,0.012698009
68,80.51209783599916,0.012700235
69,80.8003649720049,0.012700993
70,81.09052133600198,0.012699008
71,81.37974262300122,0.01269527
72,81.67051935200288,0.012689352
73,81.95938444200146,0.01268243
74,82.24920225200185,0.012679311
75,82.5405535700047,0.012684428
76,82.83028030399873,0.012698567
77,83.13873434100242,0.012719237
78,83.42925739299972,0.012743626
79,83.71919155200158,0.012770853
80,84.00749826500396,0.012802644
81,84.29618501700315,0.012840399
82,84.57994175000204,0.01288133
83,84.87028741899849,0.012918888
84,85.16205930800061,0.012946762
85,85.45599079200474,0.012961284
86,85.74670171800244,0.012961862
87,86.03691864100256,0.012953227
88,86.32570648199908,0.012941756
89,86.61470222500066,0.012930013
90,86.90431594900292,0.012920162
91,87.22412681599963,0.012916599
92,87.51356792500155,0.012920583
93,87.80450725599803,0.012928203
94,88.09422779099987,0.012935612
95,88.38502311800403,0.012939282
96,88.67258310400211,0.012937164
97,88.96350240799802,0.012932227
98,89.25186061899876,0.012928843
99,89.53987884600065,0.012928636
100,89.8293638230025,0.012931052
101,90.11950349900144,0.012935181
102,90.41158485499909,0.012940787
103,90.70174694099842,0.012948019
104,90.99187803300447,0.012955953
105,91.28113126799872,0.012962818
106,91.57225561200175,0.012968171
107,91.86184406300163,0.012973298
108,92.15127134400245,0.012980848
109,92.439093590001,0.012991318
110,172.10119962700264,0.012980143
111,172.38181257300312,0.012917843
112,172.66369915100222,0.012821614
113,172.94310617500014,0.012725364
114,173.22477960600372,0.012643369
115,173.50548315099877,0.012582726
116,173.7853078850021,0.012544789
117,174.06664753000223,0.012523487
118,174.345817565998,0.012512869
119,174.6283245090017,0.012508865
120,174.93256425900472,0.012507152
121,175.21245670400094,0.012505636
122,175.49131345799833,0.012504783
123,175.77935314200295,0.012504456
124,176.0686297420034,0.012504291
125,176.3569893840031,0.012504547
126,176.6477684979982,0.012505501
127,176.93697977100237,0.012506869
128,177.22406864200457,0.012507571
129,177.5113506320049,0.012507552
130,177.8003487590031,0.012507855
131,178.08591079799953,0.012508279
132,178.37637567600177,0.01250685
133,178.6658229829991,0.012503642
134,178.95573902199976,0.012500534
135,179.24461412500386,0.012497706
136,179.5332012180006,0.012495606
137,179.82073783899978,0.012495144
138,180.10738134400162,0.012495331
139,180.39498138500494,0.012494748
140,180.69559812600346,0.012493722
141,180.98332023699913,0.012494667
142,181.2723226550006,0.01249783
143,181.55620384299982,0.012500504
144,181.82783413000288,0.012501081
145,182.1148476610033,0.012499612
146,182.40285492000112,0.012496914
147,182.69309568500466,0.012493169
148,182.98260927200317,0.012488384
149,183.27200126700336,0.012483796
150,183.56336593699962,0.012480053
151,183.85287189500377,0.012476689
152,184.13933897099923,0.012474366
153,184.41789245700056,0.012473554
154,184.69719410000107,0.012473414
155,184.98012924200157,0.012472577
156,185.2600269320028,0.012470382
157,185.5459709170027,0.012467714
158,185.83547449199978,0.012464498
159,186.12084817900177,0.012461535
160,186.41110277199914,0.012460734
161,186.70049142900098,0.012461235
162,186.98885345500457,0.012463666
163,187.2788481719981,0.012469558
164,187.56468296100502,0.012476628
165,187.8543677330017,0.012482941
166,188.1422648430016,0.012488239
167,188.42968463899888,0.012492216
168,188.71863699000096,0.012494059
169,189.00872182899911,0.012492341
170,189.29988813400269,0.012487367
171,189.59151268099959,0.012481485
172,189.88285064700176,0.012476122
173,190.16937112899905,0.012471631
174,190.46212196400302,0.012468739
175,190.75246000300103,0.012467662
176,191.04287338300492,0.012468417
177,191.3293409350008,0.012470393
178,191.616054058999,0.012472017
179,191.9048905380041,0.012471785
180,192.19163608600502,0.012469543
181,192.4816846850008,0.012466608
182,192.77283048700338,0.012463884
183,193.05618476900418,0.012461258
184,193.34621715600224,0.012458729
185,193.6357274059992,0.012456262
186,193.92275142700237,0.012455421
187,194.20641231600166,0.012458421
188,194.49290514000313,0.012464052
189,194.78263187500124,0.012470458
190,195.07120084800408,0.012476072
191,195.35659027100337,0.012478414
192,195.64633941699867,0.012476825
193,195.93189764099952,0.012472004
194,196.2233362199986,0.012466066
195,196.51051139899937,0.012461414
196,196.80080175400508,0.012458356
197,197.08414793100383,0.012456747
198,197.37228488999972,0.012457041
199,197.66049146700243,0.012458781
200,197.94852161499875,0.012461328
201,198.2364816670015,0.012465908
202,198.52541208299954,0.012473128
203,198.8148951539988,0.012481415
204,199.10382318500342,0.012489825
205,199.39151477900305,0.012498655
206,199.6709156040015,0.012508627
207,199.95210504600254,0.012521085
208,200.24074411400215,0.012537472
209,200.52901887900225,0.012559541
210,200.81753158599895,0.012586328
211,201.10352087100182,0.012614505
212,201.39210796399857,0.012643072
213,201.6827349669984,0.012671409
214,201.97188806600025,0.012697211
215,202.26206112000364,0.012717772
216,202.5511937150004,0.012729679
217,202.83937120500195,0.012731547
218,203.13024282499828,0.012726128
219,203.41762209000444,0.012717456
220,283.9554405220042,0.012709577
221,284.234779835002,0.012704543
222,284.5193643570019,0.012701852
223,284.80506372499804,0.012702548
224,285.0879845620002,0.012709087
225,285.37274646800506,0.012721391
226,285.6517438890005,0.012737036
227,285.9307823190029,0.012753351
228,286.2099490170003,0.012766302
229,286.48793029800436,0.012773076
230,286.76693344199884,0.012776314
231,287.04693412800407,0.012780936
232,287.3259310729991,0.012787463
233,287.60593223600154,0.012792739
234,287.8829340939992,0.012795642
235,288.16196584700083,0.01279755
236,288.4399313930044,0.012799403
237,288.71996975000366,0.012801592
238,288.9999685290022,0.012805216
239,289.2799696930015,0.012810515
240,289.5599741940023,0.012816231
241,289.8579711920029,0.012823203
242,290.13893175200064,0.012833204
243,290.4189767839998,0.012845841
244,290.7019681940001,0.012859216
245,290.98193264099973,0.012869042
246,291.2629323010042,0.012871359
247,291.5419321060035,0.012865573
248,291.8219366080011,0.012853302
249,292.10196924299817,0.012838006
250,292.38594341299904,0.012823699
251,292.6719350819985,0.012812677
252,292.96593523100455,0.012805189
253,293.2460269930016,0.012799877
254,293.5293903359998,0.012795894
255,293.816079617005,0.012793103
256,294.1057877550047,0.012792954
257,294.3872647290045,0.012801532
258,294.6733722690042,0.012827956
259,294.95629549099976,0.012879226
260,295.2397084240001,0.012953592
261,295.5207443239997,0.013040253
262,295.8015966419989,0.013127207
263,296.0834331520018,0.013208177
264,296.36439323500235,0.013283009
265,296.64239358899795,0.013351533
