,id,cumsum,unixtime,country,date
0,969,1,1579651200000,JAPAN,2020-01-22
1,1463,1,1579651200000,REPUBLIC OF KOREA,2020-01-22
2,1847,4,1579651200000,THAILAND,2020-01-22
3,2011,1,1579651200000,UNITED STATES OF AMERICA,2020-01-22
4,372,574,1579737600000,CHINA,2020-01-23
5,970,1,1579737600000,JAPAN,2020-01-23
6,1464,1,1579737600000,REPUBLIC OF KOREA,2020-01-23
7,1848,4,1579737600000,THAILAND,2020-01-23
8,2012,1,1579737600000,UNITED STATES OF AMERICA,2020-01-23
9,373,835,1579824000000,CHINA,2020-01-24
10,971,1,1579824000000,JAPAN,2020-01-24
11,1465,2,1579824000000,REPUBLIC OF KOREA,2020-01-24
12,1633,1,1579824000000,SINGAPORE,2020-01-24
13,1849,4,1579824000000,THAILAND,2020-01-24
14,2013,1,1579824000000,UNITED STATES OF AMERICA,2020-01-24
15,2062,2,1579824000000,VIET NAM,2020-01-24
16,70,3,1579910400000,AUSTRALIA,2020-01-25
17,374,1297,1579910400000,CHINA,2020-01-25
18,595,3,1579910400000,FRANCE,2020-01-25
19,972,3,1579910400000,JAPAN,2020-01-25
20,1214,1,1579910400000,NEPAL,2020-01-25
21,1466,2,1579910400000,REPUBLIC OF KOREA,2020-01-25
22,1634,3,1579910400000,SINGAPORE,2020-01-25
23,1850,4,1579910400000,THAILAND,2020-01-25
24,2014,2,1579910400000,UNITED STATES OF AMERICA,2020-01-25
25,2063,2,1579910400000,VIET NAM,2020-01-25
26,71,4,1579996800000,AUSTRALIA,2020-01-26
27,375,1985,1579996800000,CHINA,2020-01-26
28,596,3,1579996800000,FRANCE,2020-01-26
29,973,3,1579996800000,JAPAN,2020-01-26
30,1112,3,1579996800000,MALAYSIA,2020-01-26
31,1215,1,1579996800000,NEPAL,2020-01-26
32,1467,2,1579996800000,REPUBLIC OF KOREA,2020-01-26
33,1635,4,1579996800000,SINGAPORE,2020-01-26
34,1851,5,1579996800000,THAILAND,2020-01-26
35,2015,2,1579996800000,UNITED STATES OF AMERICA,2020-01-26
36,2064,2,1579996800000,VIET NAM,2020-01-26
37,72,4,1580083200000,AUSTRALIA,2020-01-27
38,317,1,1580083200000,CANADA,2020-01-27
39,376,2761,1580083200000,CHINA,2020-01-27
40,597,3,1580083200000,FRANCE,2020-01-27
41,974,4,1580083200000,JAPAN,2020-01-27
42,1113,4,1580083200000,MALAYSIA,2020-01-27
43,1216,1,1580083200000,NEPAL,2020-01-27
44,1468,3,1580083200000,REPUBLIC OF KOREA,2020-01-27
45,1636,4,1580083200000,SINGAPORE,2020-01-27
46,1852,5,1580083200000,THAILAND,2020-01-27
47,2016,5,1580083200000,UNITED STATES OF AMERICA,2020-01-27
48,2065,2,1580083200000,VIET NAM,2020-01-27
49,73,5,1580169600000,AUSTRALIA,2020-01-28
