debut;fin;pays_origine;ville_origine;pays;ville;lieu;mode_deplacement;acronyme;libelle;faculte
2016-09-07;2016-09-10;;;République tchèque;Prague;Charles University in Prague;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2016-11-09;2016-11-12;;;République tchèque;Prague;Charles University in Prague;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2016-11-09;2016-11-12;;;Allemagne;Frankfurt;Goethe University Frankfurt;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2017-07-11;2017-03-14;;;Royaume-Uni;Glasgow;University of Glasgow;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2017-04-06;2017-04-07;;;Allemagne;Frankfurt;Goethe University Frankfurt;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2017-03-29;2017-04-06;;;Etats-Unis;Lexington;Washington & Lee University, Lexington Virginia;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2017-04-03;2017-06-24;;;USA;Washington, D.C.;Howard University;NULL;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2017-03-22;2017-03-26;;;Espagne;Logono; Spanish Ministry of Health, Social Services and Equity, and the Fundación Rioja Salud;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2017-03-26;2017-04-04;;;Canada;Québec;Université Laval;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2017-06-23;2017-07-01;;;Singapour;Singapour;Lee Kuan Yew School of Public Policy (NUS);NULL;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2017-03-30;2017-03-31;;;France;Paris;Société Française de Statistique (SFdS);NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
