debut;fin;pays_origine;ville_origine;pays;ville;lieu;mode_deplacement;acronyme;libelle;faculte
2017-06-12;2017-07-14;;;Belgique;Aiseau-Presles;;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-06-20;2017-06-30;;;Russie;Saint-Pétersbourg;ITMO University;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2017-06-17;2017-06-25;;;France;Nantes;Université de Nantes;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-05-26;2017-06-02;;;Canada;Toronto;Ryerson University;NULL;L&L;Département de Langues et Lettres;LTC
2017-05-24;2017-05-31;;;États-Unis;San Diego;International Communication Association;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2017-08-27;2017-09-17;;;Italie;Pompéi;Université Lille 3 & Ecole française de Rome;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-05-26;2017-05-28;;;Roumanie;Bucarest;University of Bucharest;NULL;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2017-05-27;2017-06-02;;;Haïti;Port-au-Prince;FOKAL et WBI;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2017-05-29;2017-05-29;;;France;Lille;Sciences-po Lille;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2017-05-28;2017-06-02;;;Haïti;Port-au-Prince;FOKAL- WBI;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2017-09-11;2017-09-18;;;CANADA;VANCOUVER;UNIVERSITY OF BRITISH COLUMBIA (LIBRARY);NULL;L&L;Département de Langues et Lettres;LTC
2017-06-19;2017-07-07;;;Belgique;Aiseau-Presles;Chantier école d'Aiseau-Presles (ULB);NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-06-06;2017-07-03;;;Maroc;Marrakech et Rabat;Centre Jacques Berque (CNRS - Rabat);NULL;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2017-05-24;2017-05-27;;;Roumanie;Târgoviste;Université de Valahia Târgoviste;NULL;L&L;Département de Langues et Lettres;LTC
2017-05-28;2017-06-02;;;Haiti;Port-au-Prince;Wallonie Bruxelles International;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2017-05-27;2017-06-02;;;Haïti;Port au Prince;Fokal/WBI;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2017-09-06;2017-09-10;;;Norvège;oslo;University of Oslo;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2017-11-07;2017-11-09;;;Italie;Rome;Sapienza university;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2017-05-31;2017-05-31;;;France;Paris;Université-Paris Sorbonne;NULL;L&L;Département de Langues et Lettres;LTC
2017-05-31;2017-06-02;;;France;Paris;MSH Paris-Nord;NULL;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2017-07-04;2017-07-08;;;Portugal;Lisbonne;European Association of Social Anthropologists - Medical Anthropology Network / Instituto de Ciências Sociais (ULisboa);NULL;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2017-06-16;2017-06-16;;;France;Paris;EHESS;NULL;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2017-09-18;2017-09-25;;;Japon;Kyoto;Université de Kyoto;NULL;L&L;Département de Langues et Lettres;LTC
2017-06-14;2017-06-16;;;Allemagne;Berlin;Europa im Nahen Osten – Der Nahe Osten in Europa| Europe in the Middle East – The Middle East in EuropeForum Transregionale Studien;NULL;DECB;Décanat de la Faculté de Philosophie et Sciences Sociales;PHILOSCSOC
2017-06-04;2017-06-06;;;Pays Bas;La Haye;Institute of Social Studies;NULL;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2017-06-01;2017-06-04;;;Grande Bretagne;St. Andrews;University of St. Andrews;NULL;L&L;Département de Langues et Lettres;LTC
2017-06-28;2017-06-28;;;France;Paris;EPHE Sorbonne;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2017-06-02;2017-06-02;;;France;Paris;;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2017-06-08;2017-06-12;;;Allemagne;Hamburg;Performance Studies Universität Hamburg, Kampnagel – International Center for Finer Arts and Performance Studies international (PSi).;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2017-06-22;2017-06-23;;;United Kingdom;Oxford;University College, Oxford;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2017-09-06;2017-09-09;;;Norway;Oslo;University of Oslo;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2017-09-10;2017-09-22;;;United Kingdom;Nottingham;University of Nottingham;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2017-05-29;2017-05-31;;;France;Paris;EHESS;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2016-10-01;2016-12-03;;;Royaume-Uni;Londres/Oxford;University of OxfordCentre on Migration, Policy & Society;NULL;DECB;Décanat de la Faculté de Philosophie et Sciences Sociales;PHILOSCSOC
2016-10-01;2016-12-03;;;Royaume-Uni;Londres/Oxford;University of OxfordCentre on Migration, Policy & Society;NULL;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2017-06-01;2017-06-01;;;France;Paris;Paris I Sorbonne - Laboratoire du Lamop;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-06-02;2017-06-02;;;France;Egligny;Domaine de l'abbaye cistercienne de Preuilly - Commune d'Egligny (77126);NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-06-08;2017-06-11;;;Pologne;Cracovie;Fondation Wis?awa Szymborska;NULL;L&L;Département de Langues et Lettres;LTC
2017-07-03;2017-07-09;;;République Tchèque;Prague;Charles University;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-09-15;2017-12-31;;;France;Bordeaux;Institut d'Etudes Politiques de Bordeaux;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2017-06-07;2017-06-08;;;Luxembourg;Luxembourg;Université de Luxembourg + Commission Européenne;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2017-06-16;2017-06-18;;;France;Paris;Archives nationales à Paris;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-07-25;2017-07-30;;;France;Dixmont;Sémainaire co-organisé par l'Université de Wuppertal.;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2017-11-30;2017-12-03;;;France;Grenoble;Université de Grenoble. Département de philosophie.;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2017-06-12;2017-06-14;;;BELGIQUE;BRUXELLES;CREA - ULB;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-06-22;2017-07-04;;;Haïti;Port au Prince, Arcahaie;Université d'Etat d'Haïti, Faculté d'agronomie et de médecine vétérinaire;NULL;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2017-06-14;2017-06-16;;;France;Aix en Provence;MMSH;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-05-04;2017-05-08;;;france;lyon;ENS Lyon;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2017-06-11;2017-06-14;;;Serbie;Belgrade;University of BelgradeDepartment of Communication & Arts;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2017-06-11;2017-06-15;;;France;Marseille;Institut de recherche et de développement;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2017-06-19;2017-06-28;;;Colombie;Bogota et al.;/;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-06-26;2017-07-04;;;poland;cracovie;Universités de Strasbourg/Cracovie , école d'été, Euro culture;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2017-06-04;2017-06-10;;;Portugal;Lisbonne, Porto, Fao et Coimbra;Université de Lisbonne, de Coimbra, Poroto et Faro;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2017-08-30;2017-12-31;;;Brésil;Brasilia;Université de Brasilia (UnB);NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2017-06-27;2017-06-28;;;Italie;Florence;Université de Florence, Dipartimento di Scienze Politiche e Sociali;NULL;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
