variable,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,humidity,humidity,humidity,humidity,humidity,humidity,humidity,humidity,humidity,humidity,humidity,humidity,lat,lat,lat,lat,lat,lat,lat,lat,lat,lat,lat,lat,lon,lon,lon,lon,lon,lon,lon,lon,lon,lon,lon,lon,temperature,temperature,temperature,temperature,temperature,temperature,temperature,temperature,temperature,temperature,temperature,temperature
location_key,CLB-1,CLB-2,E7-1,E7-2,E8-1,E8-2,EEB3-1,EEB3-2,EST-1,HHD-1,HVA-1,HVA-2,CLB-1,CLB-2,E7-1,E7-2,E8-1,E8-2,EEB3-1,EEB3-2,EST-1,HHD-1,HVA-1,HVA-2,CLB-1,CLB-2,E7-1,E7-2,E8-1,E8-2,EEB3-1,EEB3-2,EST-1,HHD-1,HVA-1,HVA-2,CLB-1,CLB-2,E7-1,E7-2,E8-1,E8-2,EEB3-1,EEB3-2,EST-1,HHD-1,HVA-1,HVA-2,CLB-1,CLB-2,E7-1,E7-2,E8-1,E8-2,EEB3-1,EEB3-2,EST-1,HHD-1,HVA-1,HVA-2,CLB-1,CLB-2,E7-1,E7-2,E8-1,E8-2,EEB3-1,EEB3-2,EST-1,HHD-1,HVA-1,HVA-2
timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10 00:00:00,,,,,,,,,64.21058823529413,46.86473684210526,51.54647058823529,,,,,,,,,,13.679411764705883,10.99842105263158,8.147058823529413,,,,,,,,,,62.824999999999996,72.18571428571428,69.58000000000001,69.67647058823529,,,,,,,,,50.826000000000015,50.87200000000003,50.82400000000002,50.87199999999999,,,,,,,,,4.376000000000002,4.331999999999996,4.377999999999998,4.332,,,,,,,,,12.806250000000002,11.142857142857142,11.619999999999996,11.264705882352942
2020-02-10 01:00:00,,,,,,,,,15.853846153846156,12.118888888888888,12.223333333333333,,,,,,,,,,3.964615384615385,3.1322222222222216,1.960666666666667,,,,,,,,,,62.775000000000006,72.84375,70.20666666666666,70.55333333333333,,,,,,,,,50.826000000000015,50.872000000000014,50.824000000000005,50.87199999999999,,,,,,,,,4.376000000000001,4.331999999999997,4.378,4.332,,,,,,,,,11.850000000000001,10.1875,10.566666666666668,10.120000000000003
2020-02-10 02:00:00,,,,,,,,,35.633750000000006,23.885,30.88375,,,,,,,,,,8.125,5.576666666666667,4.97,,,,,,,,,,65.25714285714285,74.13999999999999,72.3111111111111,72.94285714285715,,,,,,,,,50.826000000000015,50.871999999999986,50.82399999999999,50.87200000000001,,,,,,,,,4.3759999999999994,4.331999999999998,4.378,4.332,,,,,,,,,11.7,10.040000000000001,10.466666666666665,10.114285714285714
2020-02-10 03:00:00,,,,,,,,,36.044999999999995,23.650909090909092,22.64076923076923,,,,,,,,,,8.116,5.09090909090909,3.9384615384615382,,,,,,,,,,62.16363636363636,70.79285714285714,69.74166666666667,69.82,,,,,,,,,50.82600000000001,50.872,50.824,50.872,,,,,,,,,4.376,4.331999999999997,4.378,4.332,,,,,,,,,11.763636363636364,10.285714285714286,10.475000000000003,10.0
2020-02-10 04:00:00,,,,,,,,,29.0725,19.2185,24.045882352941174,,,,,,,,,,6.68,4.4765,3.4641176470588237,,,,,,,,,,70.20526315789475,79.91499999999999,79.29411764705884,81.17142857142856,,,,,,,,,50.826000000000015,50.87200000000003,50.82400000000001,50.871999999999986,,,,,,,,,4.376000000000003,4.331999999999996,4.377999999999999,4.331999999999998,,,,,,,,,11.089473684210523,9.41,9.66470588235294,9.033333333333333
2020-02-10 05:00:00,,,,,,,,,26.20434782608696,15.792608695652175,21.53,,,,,,,,,,6.068695652173912,4.0456521739130435,3.2294736842105265,,,,,,,,,,68.2625,80.78181818181818,76.9782608695652,77.85499999999999,,,,,,,,,50.826000000000015,50.87200000000001,50.82400000000003,50.871999999999986,,,,,,,,,4.376000000000003,4.331999999999996,4.377999999999997,4.331999999999999,,,,,,,,,10.799999999999999,8.56818181818182,9.317391304347826,8.834999999999997
2020-02-10 06:00:00,,,,,,,,,18.870416666666667,11.545,14.531250000000004,,,,,,,,,,4.5633333333333335,2.670833333333334,2.5381249999999995,,,,,,,,,,59.28333333333333,70.92916666666666,67.0304347826087,66.91176470588236,,,,,,,,,50.826000000000015,50.87199999999999,50.82400000000002,50.87199999999999,,,,,,,,,4.376000000000003,4.331999999999996,4.3779999999999974,4.332,,,,,,,,,11.083333333333329,8.829166666666667,9.508695652173913,9.2
2020-02-10 07:00:00,,,,23.85,,,,,17.831363636363633,12.362727272727273,14.218823529411763,,,,,4.0,,,,,4.073181818181819,2.8740909090909095,2.988235294117647,,,,,54.9,,,,,55.33181818181818,65.61818181818184,62.75714285714286,62.64285714285715,,,,50.808,,,,,50.826000000000015,50.87200000000001,50.82400000000002,50.871999999999986,,,,4.39,,,,,4.376000000000003,4.331999999999996,4.3779999999999974,4.331999999999998,,,,11.3,,,,,10.586363636363638,8.409090909090912,8.98571428571429,8.666666666666666
2020-02-10 08:00:00,,,,,,,,,21.027142857142863,15.15227272727273,15.2325,,,,,,,,,,4.66,3.5686363636363634,2.5200000000000005,,,,,,,,,,52.531818181818196,62.219047619047615,59.75714285714285,59.91428571428572,,,,,,,,,50.826000000000015,50.872000000000014,50.82400000000002,50.871999999999986,,,,,,,,,4.376000000000003,4.331999999999996,4.377999999999998,4.331999999999998,,,,,,,,,10.90909090909091,8.433333333333335,8.880952380952383,8.576190476190472
