channel,battery_status,battery_status,battery_status,battery_status,battery_status,battery_voltage,battery_voltage,battery_voltage,battery_voltage,battery_voltage,node_humidity,node_humidity,node_humidity,node_humidity,node_humidity,node_temperature,node_temperature,node_temperature,node_temperature,node_temperature,sensor_code,sensor_code,sensor_code,sensor_code,sensor_code,sensor_temperature,sensor_temperature,sensor_temperature,sensor_temperature,sensor_temperature
device_name,node-T001,node-T002,node-T003,node-T004,node-T005,node-T001,node-T002,node-T003,node-T004,node-T005,node-T001,node-T002,node-T003,node-T004,node-T005,node-T001,node-T002,node-T003,node-T004,node-T005,node-T001,node-T002,node-T003,node-T004,node-T005,node-T001,node-T002,node-T003,node-T004,node-T005
timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-26 18:15:00,3.0,3.0,3.0,3.0,,3.108,3.114,3.094,3.108,,59.95,74.15,73.65,69.1,,18.115000000000002,20.195,20.049999999999997,21.735,,1.0,1.0,1.0,1.0,,17.34,20.43,20.53,20.78,
2019-10-26 18:30:00,3.0,3.0,3.0,3.0,,3.106666666666667,3.115,3.0946666666666665,3.107666666666667,,60.133333333333326,73.93333333333332,73.46666666666667,69.2,,18.076666666666664,20.153333333333332,20.01,21.713333333333335,,1.0,1.0,1.0,1.0,,17.41,20.39,20.476666666666667,20.703333333333333,
2019-10-26 18:45:00,3.0,3.0,3.0,3.0,,3.106,3.1136666666666666,3.095333333333333,3.1070000000000007,,60.666666666666664,73.93333333333334,73.4,69.13333333333333,,18.053333333333335,20.113333333333333,19.98,21.689999999999998,,1.0,1.0,1.0,1.0,,17.496666666666666,20.33,20.41,20.81,
2019-10-26 19:00:00,3.0,3.0,3.0,3.0,,3.106,3.113,3.094,3.107666666666667,,60.699999999999996,73.83333333333333,73.3,69.13333333333334,,18.14,20.09,19.95,21.663333333333338,,1.0,1.0,1.0,1.0,,17.540000000000003,20.29,20.349999999999998,20.83,
2019-10-26 19:15:00,3.0,3.0,3.0,3.0,,3.105333333333333,3.115,3.0946666666666665,3.106666666666667,,60.9,73.63333333333333,73.16666666666667,69.2,,18.05666666666667,20.05,19.92,21.636666666666667,,1.0,1.0,1.0,1.0,,17.453333333333333,20.25,20.31,20.81,
2019-10-26 19:30:00,3.0,3.0,3.0,3.0,,3.1040000000000005,3.114333333333333,3.0946666666666665,3.106333333333333,,61.4,73.66666666666667,73.23333333333333,69.16666666666667,,18.066666666666666,20.02,19.896666666666665,21.613333333333333,,1.0,1.0,1.0,1.0,,17.5,20.203333333333333,20.226666666666667,20.81,
2019-10-26 19:45:00,3.0,3.0,3.0,3.0,,3.1046666666666667,3.1123333333333334,3.094,3.106666666666667,,61.9,73.63333333333334,73.2,69.13333333333333,,17.99,19.996666666666666,19.88333333333333,21.603333333333335,,1.0,1.0,1.0,1.0,,17.43,20.16,20.18,20.81,
2019-10-26 20:00:00,3.0,3.0,3.0,3.0,,3.1040000000000005,3.112333333333334,3.094,3.106333333333333,,62.300000000000004,73.56666666666666,73.16666666666667,69.2,,17.973333333333333,19.98,19.866666666666667,21.593333333333334,,1.0,1.0,1.0,1.0,,17.41,20.12,20.12,20.79,
2019-10-26 20:15:00,3.0,3.0,3.0,3.0,,3.1033333333333335,3.113,3.094,3.106333333333333,,62.800000000000004,73.66666666666667,73.33333333333333,69.36666666666667,,17.91,19.97,19.846666666666668,21.58,,1.0,1.0,1.0,1.0,,17.37,20.06,20.099999999999998,20.81,
2019-10-26 20:30:00,3.0,3.0,3.0,3.0,,3.102,3.111,3.094,3.106333333333333,,62.93333333333334,73.73333333333333,73.30000000000001,69.23333333333333,,17.91,19.966666666666665,19.814999999999998,21.570000000000004,,1.0,1.0,1.0,1.0,,17.349999999999998,20.06,20.06,20.72666666666667,
2019-10-26 20:45:00,3.0,3.0,3.0,3.0,,3.102,3.111,3.094,3.106,,63.300000000000004,73.69999999999999,73.36666666666666,69.36666666666666,,17.86,19.96,19.790000000000003,21.56,,1.0,1.0,1.0,1.0,,17.31,20.03,20.0,20.64,
2019-10-26 21:00:00,3.0,3.0,3.0,3.0,,3.102,3.113,3.0933333333333333,3.106333333333333,,63.833333333333336,73.86666666666666,73.63333333333334,68.3,,17.849999999999998,19.96,19.77,21.536666666666665,,1.0,1.0,1.0,1.0,,17.25,20.0,20.0,20.66,
2019-10-26 21:15:00,3.0,3.0,3.0,3.0,,3.1013333333333333,3.111,3.094,3.106,,66.0,74.36666666666666,73.56666666666666,67.56666666666666,,19.09,19.956666666666667,19.763333333333335,21.64,,1.0,1.0,1.0,1.0,,17.373333333333335,22.97666666666667,24.346666666666664,20.66,
2019-10-26 21:30:00,3.0,3.0,3.0,3.0,,3.1013333333333333,3.111,3.094,3.106,,65.16666666666667,73.89999999999999,73.36666666666667,65.26666666666667,,18.66,20.246666666666666,19.9,22.62,,1.0,1.0,1.0,1.0,,17.31,37.85,38.95666666666667,20.723333333333333,
2019-10-26 21:45:00,3.0,3.0,3.0,3.0,,3.102,3.109666666666667,3.0933333333333333,3.106,,63.0,72.43333333333334,72.86666666666666,62.03333333333333,,18.186666666666664,20.939999999999998,20.186666666666667,23.963333333333335,,1.0,1.0,1.0,1.0,,17.349999999999998,46.6,47.02,20.830000000000002,
2019-10-26 22:00:00,3.0,3.0,3.0,3.0,,3.1,3.1103333333333336,3.094,3.106,,68.63333333333333,70.7,72.13333333333334,60.166666666666664,,17.746666666666666,21.516666666666666,20.513333333333332,24.72666666666667,,1.0,1.0,1.0,1.0,,16.766666666666666,42.18333333333334,41.31,20.683333333333334,
